learner_category,avg_decision_time,time_variance,rushed_decisions,overthinking_count,overtime_count,avg_time_to_start,time_trend,total_answer_changes,backtrack_count,confidence_rating,questions_answered,skipped_questions,decision_style,accuracy_score,reflection_depth,self_awareness,learning_orientation,creativity_score
quick_careless,24.0,0.114,3,0,0,1.9,stable,0,2,9.2,7,0,impulsive,0.321,0.074,0.251,0.2,0.641
quick_careless,23.5,0.096,3,0,0,1.7,stable,0,0,8.6,7,0,impulsive,0.075,0.523,0.129,0.384,0.231
quick_careless,18.6,0.108,3,0,0,2.4,stable,1,0,7.7,7,0,impulsive,0.396,0.787,0.055,0.563,0.56
quick_careless,20.3,0.14,7,0,0,2.4,speeding_up,0,1,8.4,7,0,impulsive,0.35,0.204,0.038,0.3,0.164
quick_careless,21.2,0.132,3,0,0,1.4,stable,0,0,9.0,7,0,impulsive,0.232,0.162,0.069,0.219,0.16
quick_careless,20.7,0.153,4,0,0,1.2,stable,1,0,8.8,7,0,impulsive,0.321,0.422,0.374,0.35,0.177
quick_careless,26.6,0.087,4,0,0,1.4,stable,0,1,7.7,7,0,impulsive,0.217,0.461,0.098,0.395,0.308
quick_careless,21.7,0.086,5,0,0,1.0,speeding_up,2,0,8.7,7,0,impulsive,0.554,0.437,0.192,0.505,0.393
quick_careless,18.9,0.111,1,0,0,0.9,speeding_up,0,0,8.7,7,0,impulsive,0.185,0.125,0.337,0.185,0.118
quick_careless,21.5,0.14,2,0,0,2.2,speeding_up,2,1,10.0,7,0,impulsive,0.588,0.107,0.695,0.444,0.25
quick_careless,27.8,0.063,4,0,0,1.8,stable,1,0,8.1,7,0,impulsive,0.073,0.219,0.305,0.189,0.582
quick_careless,14.8,0.071,7,0,1,2.5,speeding_up,1,0,8.4,7,0,impulsive,0.407,0.07,0.357,0.34,0.546
quick_careless,21.4,0.087,3,0,0,1.6,stable,0,1,9.3,7,0,impulsive,0.349,0.172,0.241,0.267,0.34
quick_careless,24.0,0.124,3,0,1,1.9,speeding_up,2,0,8.4,7,0,impulsive,0.147,0.177,0.389,0.267,0.121
quick_careless,27.9,0.148,2,0,0,1.7,stable,1,0,8.7,7,0,impulsive,0.342,0.45,0.315,0.442,0.495
quick_careless,26.2,0.182,3,0,0,2.4,speeding_up,2,0,8.5,7,0,impulsive,0.454,0.032,0.585,0.294,0.515
quick_careless,25.2,0.109,5,0,0,1.0,speeding_up,0,0,7.5,7,0,impulsive,0.423,0.472,0.159,0.46,0.129
quick_careless,24.1,0.168,3,0,0,2.1,speeding_up,0,0,9.0,7,0,impulsive,0.688,0.516,0.126,0.529,0.414
quick_careless,19.4,0.089,5,0,0,1.6,speeding_up,1,0,7.7,7,0,impulsive,0.099,0.23,0.242,0.227,0.469
quick_careless,19.7,0.15,5,0,0,1.5,speeding_up,1,0,7.6,7,0,impulsive,0.092,0.81,0.134,0.469,0.135
quick_careless,22.4,0.14,3,0,0,2.6,speeding_up,2,0,8.2,7,0,impulsive,0.758,0.125,0.423,0.511,0.227
quick_careless,24.0,0.17,4,0,0,2.6,stable,0,1,8.7,7,0,impulsive,0.584,0.314,0.057,0.468,0.349
quick_careless,32.6,0.112,7,0,0,1.8,speeding_up,3,0,8.4,7,0,impulsive,0.578,0.182,0.013,0.396,0.447
quick_careless,11.2,0.118,4,0,0,1.7,speeding_up,2,0,7.5,7,0,impulsive,0.175,0.743,0.814,0.459,0.223
quick_careless,24.1,0.153,1,0,0,1.1,stable,1,0,9.0,7,0,impulsive,0.17,0.276,0.211,0.231,0.549
quick_careless,23.3,0.07,5,0,0,2.2,speeding_up,1,0,7.3,7,0,impulsive,0.49,0.5,0.092,0.473,0.141
quick_careless,24.1,0.185,4,0,0,2.6,speeding_up,0,0,8.5,7,0,impulsive,0.411,0.122,0.053,0.237,0.375
quick_careless,32.2,0.116,3,0,0,2.8,speeding_up,0,1,8.4,7,0,impulsive,0.127,0.102,0.325,0.233,0.284
quick_careless,22.5,0.138,7,0,0,1.7,speeding_up,0,0,7.6,7,0,impulsive,0.55,0.138,0.075,0.446,0.635
quick_careless,25.7,0.133,6,0,0,1.3,speeding_up,0,0,7.6,7,0,impulsive,0.312,0.438,0.305,0.373,0.58
quick_careless,24.2,0.095,1,0,1,2.5,stable,0,1,7.9,7,0,impulsive,0.583,0.204,0.275,0.413,0.505
quick_careless,29.2,0.099,7,0,0,1.9,stable,2,1,8.8,7,0,impulsive,0.325,0.381,0.253,0.384,0.339
quick_careless,25.0,0.066,4,0,1,2.4,stable,0,1,7.2,7,0,impulsive,0.359,0.034,0.377,0.172,0.713
quick_careless,20.4,0.071,3,0,0,1.7,stable,0,1,8.9,7,0,impulsive,0.487,0.424,0.296,0.5,0.498
quick_careless,24.9,0.138,2,0,1,2.1,stable,1,0,8.7,7,0,impulsive,0.232,0.058,0.203,0.237,0.06
quick_careless,21.9,0.097,3,0,0,2.6,speeding_up,0,0,9.1,7,0,impulsive,0.208,0.307,0.349,0.397,0.573
quick_careless,23.4,0.136,3,0,0,2.1,speeding_up,1,0,9.8,7,0,impulsive,0.508,0.069,0.37,0.325,0.374
quick_careless,20.1,0.183,3,0,0,1.0,stable,1,1,10.0,7,0,impulsive,0.658,0.345,0.313,0.54,0.291
quick_careless,10.6,0.166,3,0,0,0.9,speeding_up,1,1,8.5,7,0,impulsive,0.175,0.554,0.265,0.456,0.541
quick_careless,21.0,0.112,1,0,0,1.7,stable,0,0,7.6,7,0,impulsive,0.437,0.582,0.562,0.551,0.169
quick_careless,24.0,0.126,4,0,1,2.0,stable,1,0,9.7,7,0,impulsive,0.118,0.185,0.229,0.208,0.355
quick_careless,21.3,0.121,4,0,0,1.5,speeding_up,0,0,7.3,7,0,impulsive,0.34,0.188,0.217,0.298,0.62
quick_careless,23.6,0.112,2,0,0,2.1,speeding_up,1,0,9.6,7,0,impulsive,0.588,0.221,0.19,0.492,0.456
quick_careless,23.9,0.126,4,0,0,2.4,stable,0,0,8.2,7,0,impulsive,0.169,0.151,0.094,0.276,0.41
quick_careless,30.8,0.098,5,0,0,1.1,stable,2,0,8.9,7,0,impulsive,0.707,0.22,0.191,0.409,0.606
quick_careless,28.7,0.137,2,0,1,2.1,speeding_up,1,0,7.7,7,0,impulsive,0.148,0.142,0.267,0.264,0.297
quick_careless,17.7,0.084,3,0,0,1.2,stable,2,2,6.7,7,0,impulsive,0.184,0.292,0.123,0.414,0.407
quick_careless,20.8,0.094,3,0,0,2.1,speeding_up,0,1,8.3,7,0,impulsive,0.828,0.259,0.13,0.514,0.488
quick_careless,19.5,0.108,2,0,1,2.0,speeding_up,1,0,9.4,7,0,impulsive,0.161,0.275,0.505,0.274,0.295
quick_careless,24.3,0.125,3,0,0,1.3,speeding_up,1,0,7.7,7,0,impulsive,0.077,0.351,0.091,0.349,0.21
quick_careless,17.2,0.123,3,0,0,1.6,speeding_up,0,1,8.5,7,0,impulsive,0.227,0.099,0.367,0.214,0.659
quick_careless,21.0,0.173,2,0,1,2.1,stable,0,1,9.6,7,0,impulsive,0.531,0.383,0.076,0.457,0.416
quick_careless,25.4,0.097,7,0,0,2.0,stable,0,0,8.4,7,0,impulsive,0.486,0.448,0.135,0.467,0.479
quick_careless,17.1,0.112,5,0,0,1.4,stable,1,1,7.8,7,0,impulsive,0.638,0.163,0.033,0.531,0.654
quick_careless,20.8,0.125,7,0,0,1.5,speeding_up,0,1,8.5,7,0,impulsive,0.606,0.117,0.242,0.449,0.338
quick_careless,14.3,0.07,2,0,0,2.0,stable,0,0,8.7,7,0,impulsive,0.227,0.251,0.449,0.33,0.27
quick_careless,18.0,0.132,4,0,0,1.4,stable,0,0,7.7,7,0,impulsive,0.175,0.188,0.407,0.24,0.446
quick_careless,19.6,0.155,4,0,0,1.3,stable,1,0,8.1,7,0,impulsive,0.242,0.391,0.469,0.398,0.381
quick_careless,29.1,0.079,2,0,0,1.5,stable,0,0,8.4,7,0,impulsive,0.379,0.338,0.393,0.402,0.555
quick_careless,19.0,0.103,5,0,0,2.4,stable,1,1,8.8,7,0,impulsive,0.158,0.247,0.204,0.274,0.226
quick_careless,21.7,0.138,6,0,0,2.4,stable,1,0,10.0,7,0,impulsive,0.429,0.082,0.042,0.293,0.326
quick_careless,20.5,0.104,6,0,1,1.3,stable,0,0,9.4,7,0,impulsive,0.159,0.166,0.141,0.239,0.265
quick_careless,24.9,0.147,5,0,0,2.4,speeding_up,0,1,8.3,7,0,impulsive,0.27,0.422,0.315,0.395,0.186
quick_careless,29.4,0.111,0,0,0,1.6,speeding_up,1,0,9.2,7,0,impulsive,0.497,0.228,0.246,0.524,0.432
quick_careless,19.4,0.047,7,0,0,1.7,speeding_up,2,1,7.7,7,0,impulsive,0.231,0.178,0.088,0.248,0.648
